"PROBEID" "SYMBOL" "ENTREZID"
"ILMN_10000" "THBS3" "7059"
"ILMN_10001" "SLC38A2" "54407"
"ILMN_10002" "XG" "7499"
"ILMN_10004" "DDR1" "780"
"ILMN_10005" "CCNB1" "891"
"ILMN_10006" "ZNF496" "84838"
"ILMN_10009" "CRYM" "1428"
"ILMN_1001" "SCIN" "85477"
"ILMN_10010" "APOH" "350"
"ILMN_10011" "SMAD7" "4092"
"ILMN_10012" "SLC7A2" "6542"
"ILMN_10013" "LALBA" "3906"
"ILMN_10014" "KIR2DL5A" "57292"
"ILMN_10016" "DIO3" "1735"
"ILMN_1002" "K6IRS4" NA
"ILMN_10020" "TRPC1" "7220"
"ILMN_10021" "LIG3" "3980"
"ILMN_10022" "GHSR" "2693"
"ILMN_10023" "HSD11B1" "3290"
"ILMN_10024" "FLJ32784" NA
"ILMN_10025" "RNASE2" "6036"
"ILMN_10026" "MTHFD1" "4522"
"ILMN_10028" "LOC149134" NA
"ILMN_10029" "NALP7" NA
"ILMN_1003" "P2RY5" NA
"ILMN_10031" "GUCY2F" "2986"
"ILMN_10032" "PNLIPRP1" "5407"
"ILMN_10033" "COMMD9" "29099"
"ILMN_10035" "DDX43" "55510"
"ILMN_10036" "PCBP4" "57060"
"ILMN_10038" "NETO1" "81832"
"ILMN_10039" "CCDC51" "79714"
"ILMN_1004" "CENTD1" NA
"ILMN_10040" "ITSN1" "6453"
"ILMN_10044" "LXN" "56925"
"ILMN_10045" "DTX3" "196403"
"ILMN_1005" "SELM" NA
"ILMN_10052" "RFXDC1" NA
"ILMN_10054" "C1orf60" NA
"ILMN_10057" "TGOLN2" "10618"
"ILMN_10059" "ALG14" "199857"
"ILMN_1006" "SEZ6L2" "26470"
"ILMN_10062" "PRCC" "5546"
"ILMN_10063" "CNOT8" "9337"
"ILMN_10066" "PHLPPL" NA
"ILMN_10067" "FAM13A1" NA
"ILMN_1007" "PPP2R2B" "5521"
"ILMN_10070" "ZSCAN2" "54993"
"ILMN_10072" "PXDNL" "137902"
"ILMN_10073" "FBXW11" "23291"
"ILMN_10074" "LOC202459" NA
"ILMN_10075" "PAGE2" "203569"
"ILMN_10076" "SLC22A17" "51310"
"ILMN_10077" "EIF2AK4" "440275"
"ILMN_10078" "RP11-529I10.4" NA
"ILMN_10080" "LOC90925" NA
"ILMN_10081" "OR2AE1" "81392"
"ILMN_10082" "DDX4" "54514"
"ILMN_10084" "OR51I1" "390063"
"ILMN_10085" "DDX59" "83479"
